"","key","gene.x","beta.x","lfsr.x","cell.x","region.x","beta.y","s2","stdev","p","gene.y","region.y","cell.y","lfsr.y","bias","match"
"9878","Intraparietal_sulcus Oligo AC004540.1","AC004540.1",0.151907351396989,0.0374126964939826,"Oligo","Intraparietal_sulcus",-1.24828922450137,5.30334354149141,0.520451982049169,0.306864719143923,"AC004540.1","Intraparietal_sulcus","Oligo",0.999783658661741,"ns","diff"
"9879","Intraparietal_sulcus OPC AC004540.1","AC004540.1",0.151982050810064,0.0350342273615735,"OPC","Intraparietal_sulcus",-0.0635769726180149,2.14013456849699,0.253182726738545,0.864908157661633,"AC004540.1","Intraparietal_sulcus","OPC",0.994129227897612,"ns","diff"
"9883","Intraparietal_sulcus VIP AC004540.1","AC004540.1",0.151573945397552,0.0385793074707159,"VIP","Intraparietal_sulcus",-0.0195333855608695,3.64953524499922,0.0923331626985009,0.912614107485245,"AC004540.1","Intraparietal_sulcus","VIP",0.999776382122249,"ns","diff"
"9885","Retrosplenial_cortex Astro AC004540.1","AC004540.1",0.151882787731648,0.0364061523524685,"Astro","Retrosplenial_cortex",-0.351027114573398,1.49985051094288,0.449949545213937,0.529903916565045,"AC004540.1","Retrosplenial_cortex","Astro",0.99957904195105,"ns","diff"
"9896","Retrosplenial_cortex Oligo AC004540.1","AC004540.1",0.15236676266016,0.0350463530306658,"Oligo","Retrosplenial_cortex",-1.47170317482233,1.95091724525314,0.890461868552347,0.248497213852281,"AC004540.1","Retrosplenial_cortex","Oligo",0.999498793627635,"ns","diff"
"9897","Retrosplenial_cortex OPC AC004540.1","AC004540.1",0.152228953175301,0.0344563534872442,"OPC","Retrosplenial_cortex",-0.168046461328196,1.22253809039839,0.346914294907892,0.665515836382219,"AC004540.1","Retrosplenial_cortex","OPC",0.999043408998884,"ns","diff"
"10509","Fusiform_Gyrus Oligo AC004852.2","AC004852.2",0.362214188232755,0.0121771763152405,"Oligo","Fusiform_Gyrus",-0.259404277048287,1.79253904047881,0.804330784992636,0.811761623175716,"AC004852.2","Fusiform_Gyrus","Oligo",0.999684573795596,"ns","diff"
"11277","Fusiform_Gyrus L56NP AC005062.1","AC005062.1",0.207823546099885,0.0188404012762435,"L56NP","Fusiform_Gyrus",-0.00375727567159156,1.79732355673647,0.20206273952125,0.989027596028001,"AC005062.1","Fusiform_Gyrus","L56NP",0.999570138216357,"ns","diff"
"11293","Inferior_Lateral_TemporalOccipital SST AC005062.1","AC005062.1",0.157699217326475,0.0480802720785033,"SST","Inferior_Lateral_TemporalOccipital",-0.113553339643099,1.22058093433023,0.263329208742634,0.699264167839291,"AC005062.1","Inferior_Lateral_TemporalOccipital","SST",0.998585626548749,"ns","diff"
"11306","Retrosplenial_cortex L4IT AC005062.1","AC005062.1",0.235595947412864,0.00948902759285832,"L4IT","Retrosplenial_cortex",-0.137668810509227,10.3061541439466,0.194901765262255,0.827861525263561,"AC005062.1","Retrosplenial_cortex","L4IT",0.999911002338269,"ns","diff"
"11310","Retrosplenial_cortex LAMP5 AC005062.1","AC005062.1",0.17508279095095,0.0439558680671336,"LAMP5","Retrosplenial_cortex",-0.392356051438514,1.62631258628776,0.281755518857294,0.285238190627554,"AC005062.1","Retrosplenial_cortex","LAMP5",0.997565405542846,"ns","diff"
"11312","Retrosplenial_cortex SST AC005062.1","AC005062.1",0.198268749244263,0.0191343414659317,"SST","Retrosplenial_cortex",-0.258335926279037,0.916511050447651,0.31412042388759,0.398580881601651,"AC005062.1","Retrosplenial_cortex","SST",0.999868975139171,"ns","diff"
"11442","Angular_Gyrus Micro AC005165.1","AC005165.1",0.518198309553766,0.0472418005748495,"Micro","Angular_Gyrus",-0.472851279043606,1.42015869570216,0.755926816927132,0.603786457759917,"AC005165.1","Angular_Gyrus","Micro",0.981205652255451,"ns","diff"
"11444","Angular_Gyrus PAX6 AC005165.1","AC005165.1",-0.395745393397339,0.0061772839872718,"PAX6","Angular_Gyrus",1.15184963624986,1.00408396747052,0.526452074236606,0.0395581598014449,"AC005165.1","Angular_Gyrus","PAX6",0.939752776807302,"ns","diff"
"11470","Inferior_Lateral_TemporalOccipital PAX6 AC005165.1","AC005165.1",-0.346419312724647,0.00798669301315358,"PAX6","Inferior_Lateral_TemporalOccipital",0.0270868638303199,0.811197250123548,0.433806755605026,0.945301972745441,"AC005165.1","Inferior_Lateral_TemporalOccipital","PAX6",0.99893992734239,"ns","diff"
"11480","Retrosplenial_cortex Chandelier AC005165.1","AC005165.1",-0.378011609952581,0.0379917948545533,"Chandelier","Retrosplenial_cortex",0.219495541959444,1.80489973471531,0.499918813276621,0.746422389276199,"AC005165.1","Retrosplenial_cortex","Chandelier",0.998429368085345,"ns","diff"
"11590","Angular_Gyrus Chandelier AC005225.3","AC005225.3",-0.111511243878372,0.0372830119029691,"Chandelier","Angular_Gyrus",0.3360632377631,0.7272743846758,0.420592617342659,0.356494802671133,"AC005225.3","Angular_Gyrus","Chandelier",0.99533625478555,"ns","diff"
